Id,Label
157,Skadden Arps Slate Meagher & Flom LLP
158,Jones Day
158,Slaughter and May
159,Jordan Edmiston Group Inc.
159,Smith's Corporate Advisory Ltd
160,JP Morgan
160,Societe Generale
161,JS Wad & Co.
161,Somerley Capital Ltd
162,Jun He Law Offices
162,Squire Sanders & Dempsey LLP
163,K&L Gates LLP
163,Standard Bank Group Ltd
164,Karl Thomson Financial Advisory Ltd
164,Standard Chartered Bank
165,Keefe Bruyette & Woods Inc.
165,Stifel Nicolaus & Company Inc.
166,Kilometre Capital Management Ltd
166,Stikeman Elliott LLP
167,King & Spalding LLP
167,Sullivan & Cromwell LLP
168,King & Wood
168,SynCap
169,Kingston Securities Ltd
169,Taifook Capital Ltd
170,Kirkland & Ellis LLP
170,Teece Hodgson & Ward
171,KPMG
171,Thompson & Knight LLP
172,Kromann Reumert
172,Thomsons Lawyers
173,Landwell
173,TransAsia Lawyers
174,Lang Michener LLP
174,Troutman Sanders LLP
175,Latham & Watkins LLP
175,Turner Parkinson LLP
176,Lawrence Graham LLP
176,UBS
177,Lazard
177,UGGC & Associes
178,Leadco Legal Counsel
178,Unicredit SpA
179,Lefosse Advogados
179,Uria y Menendez y Cia
180,Lincoln Crowne & Company Pty Ltd
180,Vestsaid Edvaizorz OOO
181,Lincoln International
181,Viking Resources Inc.
182,Linklaters
182,Vinson & Elkins LLP
183,Lovells LLP
183,Walkers
184,Macfarlanes
184,"Watson, Farley & Williams LLP"
185,Mackie Research Capital Corporation
185,Webber Wentzel Bowens
186,Macleod Dixon LLP
186,Weil Gotshal & Manges LLP
187,Macquarie Capital (Hong Kong) Ltd
187,WH Ireland Ltd
188,Mallesons Stephen Jaques
188,White & Case LLP
189,Maples and Calder
189,Wilson HTM Investment Group Ltd
190,Mattos Filho Veiga Filho Marrey Jr e Quiroga Advogados SC
190,Wilson Sonsini Goodrich & Rosati
191,Mayer Brown LLP
191,WOLF THEISS
192,McCarthy Tetrault LLP
192,Yellowstone Capital Inc.
193,Merrill Lynch
193,YES Bank Ltd
194,Mills & Reeve
194,ZECOO Partners Inc.
195,Minter Ellison
195,"Zheshang Securities Co., Ltd"
196,Mintz & Fraade PC
196,Zhong Lun Law Firm
197,Moelis & Company LLC
197,Zhonglun W&D Law Firm
198,Morgan Stanley
199,Morrison & Foerster LLP
200,MP Corporate Finance GmbH
201,MSB Solicitors
202,Nabarro Wells & Co. Ltd
203,NCTM Studio Legale Associato
204,Negri Clementi Studio Legale Associato
205,Network Corporate Finance GmbH & Co. KG
206,Nomura Code Securities Ltd
