Source,Target,Id
4,168,667
177,168,668
177,168,669
30,168,670
196,168,671
196,168,672
177,168,673
177,168,674
140,168,675
177,168,676
177,168,677
177,168,678
177,168,679
47,174,680
177,174,681
140,175,682
177,175,683
140,176,684
177,176,685
48,176,686
11,176,687
177,177,688
177,177,689
70,177,690
70,177,691
70,177,692
32,177,693
32,177,694
94,177,695
94,177,696
140,177,697
140,177,698
79,177,699
79,177,700
73,177,701
73,177,702
177,177,703
42,177,704
177,177,705
177,177,706
177,177,707
177,177,708
78,177,709
78,177,710
78,177,711
78,177,712
177,177,713
177,177,714
177,177,715
177,177,716
177,177,717
8,177,718
8,177,719
140,177,720
140,177,721
42,177,722
42,177,723
64,177,724
64,177,725
177,177,726
63,177,727
73,177,728
177,177,729
177,177,730
177,177,731
70,177,732
78,177,733
48,177,734
140,177,735
94,177,736
94,177,737
177,177,738
51,177,739
129,177,740
140,177,741
196,177,742
99,177,743
70,177,744
70,177,745
70,177,746
177,177,747
177,177,748
177,177,749
70,177,750
70,177,751
177,177,752
177,177,753
100,177,754
166,177,755
177,177,756
177,177,757
78,177,758
78,177,759
177,177,760
165,177,761
90,177,762
131,177,763
94,177,764
52,177,765
82,177,766
70,177,767
196,177,768
91,177,769
8,177,770
177,177,771
19,177,772
177,177,773
177,177,774
177,177,775
70,177,776
70,177,777
32,177,778
32,177,779
94,177,780
94,177,781
140,177,782
140,177,783
79,177,784
79,177,785
73,177,786
73,177,787
177,177,788
42,177,789
177,177,790
177,177,791
19,177,792
177,177,793
129,177,794
129,177,795
129,177,796
196,177,797
196,177,798
196,177,799
70,177,800
70,177,801
70,177,802
177,177,803
177,177,804
177,177,805
54,177,806
129,177,807
71,177,808
177,177,809
177,177,810
166,177,811
166,177,812
177,177,813
110,177,814
78,177,815
78,177,816
140,177,817
140,177,818
177,177,819
140,177,820
196,177,821
1,177,822
129,177,823
129,177,824
129,177,825
129,177,826
129,177,827
129,177,828
129,177,829
177,177,830
177,177,831
177,177,832
177,177,833
177,177,834
177,177,835
177,177,836
177,177,837
177,177,838
177,177,839
177,177,840
177,177,841
177,177,842
177,177,843
177,177,844
177,177,845
177,177,846
177,177,847
177,177,848
177,177,849
177,177,850
107,177,851
183,177,852
177,177,853
177,177,854
177,177,855
78,177,856
78,177,857
78,177,858
166,177,859
166,177,860
166,177,861
177,177,862
177,177,863
177,177,864
196,177,865
177,177,866
129,177,867
168,177,868
177,177,869
177,177,870
177,177,871
177,177,872
177,177,873
177,177,874
177,177,875
140,177,876
177,177,877
177,177,878
177,177,879
30,177,880
30,177,881
30,177,882
196,177,883
196,177,884
86,177,885
86,177,886
140,177,887
140,177,888
177,177,889
177,177,890
177,177,891
177,177,892
177,177,893
177,177,894
177,177,895
140,177,896
140,177,897
9,177,898
9,177,899
177,177,900
196,177,901
177,177,902
177,177,903
78,177,904
94,177,905
91,177,906
131,177,907
131,177,908
24,177,909
24,177,910
73,177,911
73,177,912
177,177,913
78,177,914
177,177,915
30,177,916
30,177,917
177,177,918
28,177,919
196,177,920
103,177,921
177,177,922
30,177,923
177,177,924
64,177,925
112,177,926
112,177,927
112,177,928
112,177,929
177,177,930
177,177,931
177,177,932
177,177,933
177,177,934
177,177,935
70,177,936
74,177,937
28,177,938
47,177,939
47,177,940
177,177,941
174,177,942
71,177,943
177,177,944
177,177,945
177,177,946
140,177,947
129,177,948
28,177,949
177,177,950
168,177,951
29,177,952
55,177,953
30,177,954
177,177,955
140,177,956
140,177,957
33,177,958
33,177,959
168,177,960
168,177,961
177,177,962
177,177,963
177,177,964
177,177,965
177,177,966
177,177,967
177,177,968
129,177,969
112,177,970
177,177,971
110,177,972
78,177,973
177,177,974
177,177,975
177,177,976
177,177,977
177,177,978
177,177,979
177,177,980
77,177,981
77,177,982
77,177,983
177,177,984
177,177,985
177,177,986
140,177,987
140,177,988
175,177,989
70,177,990
103,177,991
91,177,992
37,177,993
175,177,994
107,177,995
177,177,996
177,177,997
177,177,998
177,177,999
177,177,1000
177,177,1001
70,177,1002
177,177,1003
177,177,1004
177,177,1005
112,177,1006
112,177,1007
72,177,1008
72,177,1009
177,177,1010
112,177,1011
177,177,1012
38,177,1013
140,177,1014
14,177,1015
107,177,1016
177,177,1017
35,177,1018
196,177,1019
50,177,1020
37,177,1021
177,177,1022
177,177,1023
177,177,1024
177,177,1025
112,177,1026
53,177,1027
53,177,1028
177,177,1029
17,177,1030
196,177,1031
177,177,1032
177,177,1033
41,177,1034
177,177,1035
37,177,1036
177,177,1037
177,177,1038
55,177,1039
55,177,1040
177,177,1041
177,177,1042
177,177,1043
177,177,1044
112,177,1045
112,177,1046
177,177,1047
94,177,1048
177,177,1049
177,177,1050
175,177,1051
175,177,1052
177,177,1053
177,177,1054
88,177,1055
112,177,1056
75,177,1057
70,177,1058
70,177,1059
177,177,1060
81,177,1061
81,177,1062
177,177,1063
177,177,1064
177,177,1065
177,177,1066
112,177,1067
140,177,1068
140,177,1069
177,177,1070
20,177,1071
129,177,1072
129,177,1073
177,177,1074
140,177,1075
177,182,1076
177,182,1077
68,182,1078
56,182,1079
43,182,1080
32,182,1081
39,182,1082
131,182,1083
24,182,1084
73,182,1085
177,182,1086
78,182,1087
177,182,1088
177,182,1089
129,183,1090
177,183,1091
177,183,1092
177,183,1093
177,183,1094
177,183,1095
177,183,1096
107,183,1097
94,196,1098
177,196,1099
51,196,1100
129,196,1101
140,196,1102
94,196,1103
6,196,1104
73,196,1105
177,196,1106
100,196,1107
166,196,1108
177,196,1109
110,196,1110
76,196,1111
131,196,1112
94,196,1113
140,196,1114
129,196,1115
48,196,1116
78,196,1117
140,196,1118
140,196,1119
70,196,1120
78,196,1121
70,196,1122
70,196,1123
177,196,1124
140,196,1125
129,196,1126
140,196,1127
177,196,1128
140,196,1129
78,196,1130
166,196,1131
177,196,1132
177,196,1133
168,196,1134
177,196,1135
30,196,1136
177,196,1137
177,196,1138
140,196,1139
9,196,1140
177,196,1141
70,196,1142
73,196,1143
37,196,1144
177,196,1145
30,196,1146
30,196,1147
196,196,1148
35,196,1149
37,196,1150
177,196,1151
83,196,1152
140,196,1153
168,196,1154
76,196,1155
37,196,1156
177,196,1157
177,196,1158
55,196,1159
177,196,1160
177,196,1161
177,196,1162
177,196,1163
98,196,1164
6,197,1165
89,197,1166
